status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
2,18,2,9,4439,1,5,1,3,2,1,1,33,1,2,1,4,2,2,2,1
4,15,2,1,3812,2,2,1,2,1,4,3,23,3,2,1,3,2,2,2,0
2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,2,1,2,1
4,12,2,3,3059,4,4,2,1,1,4,1,61,3,2,1,2,2,1,2,1
4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,2,1,2,0
3,9,2,3,745,1,3,3,2,1,2,1,28,3,2,1,2,2,1,2,0
1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,2,1,2,1
4,21,4,2,2288,1,2,4,2,1,4,2,23,3,2,1,3,2,2,2,0
2,6,2,3,590,1,2,3,4,1,3,1,26,3,2,1,2,2,1,1,1
3,24,2,3,5152,1,4,4,3,1,2,3,25,1,2,1,3,2,1,2,0
4,28,1,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,1,2,2,0
2,36,1,4,3990,5,2,3,2,1,2,4,29,1,2,1,1,2,1,2,1
2,12,2,3,1331,1,2,2,3,1,1,3,22,3,2,1,3,2,1,2,1
4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,2,1,2,1
4,15,4,1,3368,4,5,3,3,1,4,4,23,3,1,2,3,2,2,2,0
2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,2,2,2,1
4,18,4,3,2238,1,3,2,2,1,1,3,25,3,2,2,3,2,1,2,1
1,18,3,6,8471,5,3,1,2,1,2,3,23,3,1,2,3,2,2,2,0
2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,2,1,2,1
4,14,3,0,802,1,3,4,3,1,2,3,27,3,2,2,2,2,1,2,0
4,15,3,1,3594,1,2,1,2,1,2,2,46,3,2,2,2,2,1,2,1
2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,1,1,2,0
4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,2,1,2,0
4,24,4,6,1597,1,5,4,3,1,4,4,54,3,3,2,3,1,1,2,1
2,12,4,0,958,1,4,2,3,1,3,1,47,3,2,2,2,1,1,2,0
1,48,2,9,4308,1,2,3,2,1,4,2,24,3,1,1,3,2,1,2,0
4,21,3,1,2993,1,3,3,3,1,2,1,28,2,2,2,2,2,1,2,1
4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,2,2,2,1
1,9,2,3,1366,1,2,3,2,1,4,2,22,3,1,1,3,2,1,2,1
2,48,0,9,12204,5,3,2,3,1,2,3,48,1,2,1,4,2,2,2,0
4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,1,1,2,0
1,8,4,0,713,1,5,4,3,1,4,1,47,3,2,2,2,2,1,2,0
2,12,2,0,6078,1,4,2,3,1,2,3,32,3,2,1,3,2,1,2,1
3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,2,2,2,1
4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,2,1,2,1
3,9,2,3,1126,2,5,2,1,1,4,1,49,3,2,1,3,2,1,2,1
1,24,2,0,1207,1,2,4,2,1,4,2,24,3,1,1,3,2,1,2,1
4,15,1,3,1569,2,5,4,3,1,4,3,34,1,2,1,2,1,1,2,1
4,36,2,2,3349,1,3,4,2,1,2,3,28,3,2,1,4,2,2,2,1
2,18,2,5,3872,1,1,2,2,1,4,3,67,3,2,1,3,2,2,2,0
4,12,4,2,5801,5,5,2,3,1,4,2,49,3,1,1,3,2,2,1,1
4,24,4,3,2578,4,5,2,3,1,2,3,34,3,2,1,3,2,1,2,1
4,15,2,1,3029,1,4,2,3,1,2,3,33,3,2,1,3,2,1,2,1
4,18,2,3,4594,1,2,3,3,1,2,3,32,3,2,1,3,2,2,2,0
1,12,2,3,1680,3,5,3,4,1,1,1,35,3,2,1,3,2,1,2,0
2,48,0,0,8358,3,2,1,2,1,1,3,30,3,2,2,3,2,1,2,1
2,12,4,1,1860,1,1,4,3,1,2,3,34,3,2,2,4,2,2,2,1
4,15,4,3,1471,1,3,4,3,1,4,4,35,3,3,2,3,2,2,2,1
1,12,2,0,1168,1,3,4,4,1,3,1,27,3,2,1,2,2,1,2,0
4,18,4,0,1530,1,3,3,3,1,2,2,32,1,2,2,3,2,1,2,0
4,24,3,0,717,5,5,4,4,1,4,3,54,3,2,2,3,2,2,2,1
4,6,2,0,3518,1,3,2,3,3,3,2,26,3,1,1,3,2,1,2,1
2,27,0,9,8318,1,5,2,2,1,4,4,42,2,3,2,4,2,2,2,0
4,24,4,2,2028,1,4,2,3,1,2,2,30,3,2,2,2,2,1,2,1
4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,1,2,2,0
3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,2,1,2,0
1,6,2,0,662,1,2,3,3,1,4,1,41,3,2,1,2,1,2,2,0
2,12,2,3,1534,1,2,1,4,1,1,1,23,3,1,1,3,2,1,2,1
1,30,2,2,2406,1,4,4,2,1,4,1,23,3,1,1,3,2,1,2,1
1,24,1,2,3349,3,2,4,3,1,4,4,30,3,3,1,3,1,2,2,1
1,12,2,2,3590,1,3,2,3,2,2,2,29,3,2,1,2,1,1,2,0
